species,Mean_top,Mean_bottom,SE_top,SE_bottom,diff,ratio,SE_ratio,SE_diff,diff_new,common_name
Pandion haliaetus,0.033735434110239826,0.019363016996693797,1.0397711501724723e-4,9.288199487688764e-5,0.014372417113546029,0.5739667357894315,0.0032725954826458917,1.3942132340363163e-4,0.42603326421056853,Osprey
Parkesia noveboracensis,0.028844617805703583,0.005453366539857582,8.383622371762306e-5,3.026463098821873e-5,0.023391251265846,0.18906010738610868,0.0011844121275332584,8.91317019700869e-5,0.8109398926138913,Northern Waterthrush
Passer domesticus,0.3161483815716102,0.20570510673180709,6.356446271149034e-4,8.608930914271771e-4,0.1104432748398031,0.6506600024622085,0.0030210106736043843,0.0010701313035544218,0.34933999753779155,House Sparrow
Passerculus sandwichensis,0.07278040385643915,0.009318223198493916,2.1862479734418953e-4,4.811682849392767e-5,0.06346218065794523,0.1280320347888465,7.648512623247442e-4,2.2385716695719614e-4,0.8719679652111535,Savannah Sparrow
Passerella iliaca,0.02597175255585925,0.01120720694927531,7.566229246656424e-5,5.248485116359529e-5,0.014764545606583942,0.43151523660835717,0.002379945914258161,9.208388622859404e-5,0.5684847633916428,Fox Sparrow
Passerina cyanea,0.16576002317806857,0.03842278067090051,4.4583495919597025e-4,1.6085287741987583e-4,0.12733724250716805,0.23179763090178046,0.0011534129695368836,4.7396461789412725e-4,0.7682023690982196,Indigo Bunting
Pelecanus erythrorhynchos,0.03473356422373975,0.0200656208978597,1.794824673181805e-4,1.255105860084098e-4,0.014667943325880051,0.5777011759750592,0.0046871186284126965,2.1901338606303535e-4,0.4222988240249408,American White Pelican
Petrochelidon pyrrhonota,0.05136155070826937,0.015703078994614067,1.9118163570325914e-4,1.0749576544757398e-4,0.035658471713655306,0.30573607646324086,0.002382319170179561,2.193302473881191e-4,0.6942639235367591,Cliff Swallow
Phasianus colchicus,0.027416406555044803,0.013113759125888885,1.292479256421625e-4,1.25851834324829e-4,0.014302647429155917,0.4783179407396067,0.005114318760767234,1.8039875411356412e-4,0.5216820592603932,Ring-necked Pheasant
Pheucticus ludovicianus,0.1595949050609317,0.07312526411196923,3.8134721577648244e-4,2.951084800047841e-4,0.08646964094896248,0.4581929735416726,0.002148924713905387,4.8219779546489953e-4,0.5418070264583275,Rose-breasted Grosbeak
Pipilo erythrophthalmus,0.11202259646218352,0.030054683303581475,2.7826804393103153e-4,2.2323721757642125e-4,0.08196791315860204,0.26829125777072405,0.0021012735019747156,3.56746351886694e-4,0.731708742229276,Eastern Towhee
Piranga olivacea,0.05450056845190776,0.011786371239632169,1.722475795503423e-4,5.59809604336433e-5,0.042714197212275595,0.21626143679643756,0.0012337828119689375,1.8111625159555571e-4,0.7837385632035625,Scarlet Tanager
Podiceps auritus,0.022599226381463382,0.007551312813354344,6.652776775595254e-5,3.699565587089589e-5,0.015047913568109039,0.33414032347355815,0.0019098247528557303,7.612241743341913e-5,0.6658596765264418,Horned Grebe
Podilymbus podiceps,0.07213950760476175,0.029850687055986078,1.5074853494327392e-4,1.404561066379659e-4,0.04228882054877567,0.41379111179316824,0.0021303817085826155,2.0604135186762666e-4,0.5862088882068317,Pied-billed Grebe
Poecile atricapillus,0.4531855295651274,0.33656852337460824,5.44150821508382e-4,7.469599238708542e-4,0.11661700619051918,0.7426727055861122,0.0018740102997259651,9.241478477047919e-4,0.2573272944138878,Black-capped Chickadee
Polioptila caerulea,0.12687692984562177,0.022238049557245128,2.474876671040909e-4,1.0970427876919794e-4,0.10463888028837665,0.17527260144380388,9.297900478386082e-4,2.7071234576371876e-4,0.8247273985561961,Blue-gray Gnatcatcher
