audio_index,common_name,scientific_name
1.7567567567567568,Starred Wood-Quail,Odontophorus stellatus
0.12941176470588237,Spotted Wood-Quail,Odontophorus guttatus
0.6666666666666666,Udzungwa Partridge,Xenoperdix udzungwensis
0.039647577092511016,Ferruginous Partridge,Caloperdix oculeus
0.0449438202247191,Crested Partridge,Rollulus rouloul
0.6,Black Partridge,Melanoperdix niger
0.21171171171171171,Hill Partridge,Arborophila torqueola
0.03571428571428571,Sichuan Partridge,Arborophila rufipectus
0.5972222222222222,Chestnut-breasted Partridge,Arborophila mandellii
0.475,White-necklaced Partridge,Arborophila gingica
0.174390243902439,Rufous-throated Partridge,Arborophila rufogularis
0.12727272727272726,Red-billed Partridge,Arborophila rubrirostris
0.5238095238095238,Chestnut-headed Partridge,Arborophila cambodiana
0.19767441860465115,Hainan Partridge,Arborophila ardens
0.2633832976445396,Taiwan Partridge,Arborophila crudigularis
0.5494505494505495,White-cheeked Partridge,Arborophila atrogularis
0.04225352112676056,Bar-backed Partridge,Arborophila brunneopectus
0.11206896551724138,Orange-necked Partridge,Arborophila davidi
0.10317460317460317,Red-breasted Partridge,Arborophila hyperythra
0.06196213425129088,Malayan Partridge,Arborophila campbelli
0.29411764705882354,Roll's Partridge,Arborophila rolli
Inf,Sumatran Partridge,Arborophila sumatrana
0.25510204081632654,Chestnut-bellied Partridge,Arborophila javanica
0.043010752688172046,Gray-breasted Partridge,Arborophila orientalis
0.05772811918063315,Snow Partridge,Lerwa lerwa
0.026473099914602904,Blood Pheasant,Ithaginis cruentus
0.27586206896551724,Western Tragopan,Tragopan melanocephalus
0.09137055837563451,Satyr Tragopan,Tragopan satyra
0.10714285714285714,Blyth's Tragopan,Tragopan blythii
0.06578947368421052,Temminck's Tragopan,Tragopan temminckii
0.018604651162790697,Cabot's Tragopan,Tragopan caboti
0.17142857142857143,Chestnut-throated Monal-Partridge,Tetraophasis obscurus
0.27380952380952384,Buff-throated Monal-Partridge,Tetraophasis szechenyii
0.03259779338014042,Himalayan Monal,Lophophorus impejanus
0.02702702702702703,Sclater's Monal,Lophophorus sclateri
0.1130952380952381,Chinese Monal,Lophophorus lhuysii
0.08524590163934426,Koklass Pheasant,Pucrasia macrolopha
0.013577242231000888,Wild Turkey,Meleagris gallopavo
0.011998736975055258,Ocellated Turkey,Meleagris ocellata
0.026734647187632774,Ruffed Grouse,Bonasa umbellus
0.08728448275862069,Hazel Grouse,Tetrastes bonasia
0.0196078431372549,Chinese Grouse,Tetrastes sewerzowi
0.014548449080428218,Greater Sage-Grouse,Centrocercus urophasianus
0.021065675340768277,Gunnison Sage-Grouse,Centrocercus minimus
0.015226294235009976,Dusky Grouse,Dendragapus obscurus
0.05359150530918176,Sooty Grouse,Dendragapus fuliginosus
0.019799477630802934,Sharp-tailed Grouse,Tympanuchus phasianellus
